group_id,ensemble__recall@50,pfam__recall@50,raw_esm_mean__recall@50,setnet__recall@50,weighted_pfam__recall@50,ensemble__mrr,pfam__mrr,raw_esm_mean__mrr,setnet__mrr,weighted_pfam__mrr,ensemble__map,pfam__map,raw_esm_mean__map,setnet__map,weighted_pfam__map,ensemble__ndcg@50,pfam__ndcg@50,raw_esm_mean__ndcg@50,setnet__ndcg@50,weighted_pfam__ndcg@50
BGC0000031,0.919727272727273,0.9194545454545455,0.41018181818181826,0.5446363636363636,0.919727272727273,0.15017539719485348,0.1500235252107385,0.11057398690495832,0.10914616524200338,0.15002396801454193,0.7411025863339977,0.7383048118834251,0.36821505988118586,0.41503950743449297,0.738270664623429,0.8888798891771007,0.8879563473556393,0.5016032916631561,0.5662744476604824,0.8881024401561053
BGC0000078,0.818,0.818,0.975,0.79,0.818,0.6068820022293949,0.5672261444776897,0.36588451529495175,0.3998023358427648,0.5673398554793316,0.7330735282683138,0.6662737175268079,0.4562809353518082,0.4760231968242021,0.6664680707470232,0.8061214379214666,0.7587091158089961,0.6223328152169477,0.5987276878043006,0.7589394482198054
BGC0000171,0.9816923076923076,1.0,0.8149230769230769,0.9416923076923078,1.0,0.24303694409314006,0.2446256734718273,0.22572403164881677,0.2401068789068111,0.2446256734718273,0.9793465180770653,1.0,0.8150833289070517,0.9417329285889926,1.0,0.987298141605274,1.0,0.867536611345835,0.9621883937773206,1.0
BGC0000175,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.05908810405069089,0.05907602634797636,0.058908644086780516,0.05901672307516583,0.05907612578373189,0.9967556492057792,0.9957274956776345,0.9816198753823075,0.9907671811492003,0.9957358561380459,1.0,1.0,1.0,1.0,1.0
BGC0000469,1.0,1.0,0.762,0.96,1.0,0.75,0.75,0.465217820339012,0.6670687449524804,0.75,1.0,1.0,0.525052068823522,0.8441374899049606,1.0,1.0,1.0,0.6428843361764389,0.9059778657799754,1.0
BGC0001140,0.7575757575757575,0.7575757575757575,0.7574848484848483,0.7575757575757575,0.7575757575757575,0.07233980354911967,0.0723398035491197,0.07196959291478437,0.07230553610369081,0.0723398035491197,1.0,1.0,0.9759234374489678,0.9977559991576648,1.0,1.0,1.0,0.9998990509112087,1.0,1.0
BGC0001441,0.746268656716418,0.746268656716418,0.7457014925373134,0.746268656716418,0.746268656716418,0.07148287175188399,0.07148287175188403,0.07093185261867632,0.07142834328905404,0.07148287175188403,1.0,1.0,0.9644189113735869,0.9963589774905822,1.0,1.0,1.0,0.9994042889193568,1.0,1.0
BGC0001574,0.9368181818181819,0.9604181818181818,0.7807272727272727,0.8639090909090908,0.9606363636363635,0.16329339318033642,0.16390592497241593,0.15380201433737598,0.15862353082467,0.1639056147903682,0.9104241761473192,0.922419017426171,0.7738550905503285,0.8319274621359373,0.9224127490653254,0.9501779764929623,0.9644049124570804,0.8394265965728721,0.8956594122833138,0.96452101167898
BGC0001657,0.804,0.804,0.608,0.924,0.804,0.8055050505351374,0.8046125000000002,0.6104216498693542,0.7398219196964195,0.8046125000000002,0.8055050505351374,0.8046125000000002,0.6104216498693542,0.7398219196964195,0.8046125000000002,0.804,0.804,0.608,0.7731208932434454,0.804
BGC0001700,1.0,1.0,0.9316800000000001,0.97008,1.0,0.1526282393608525,0.15263832711014028,0.15001207535396183,0.15127199195445065,0.15263832711014028,0.9997523190883191,1.0,0.9355192301194688,0.9667337994437599,1.0,0.9999508972154949,1.0,0.9550585098192826,0.978509173246356,1.0
BGC0001945,0.8320000000000001,0.8320000000000001,0.8320000000000001,0.8320000000000001,0.8320000000000001,0.6664741345958849,0.6664240211983561,0.6605514781795859,0.6584622933072732,0.6664233875836727,0.83294826919177,0.8328480423967122,0.8211029563591719,0.8219245866145464,0.8328467751673454,0.8700174567691941,0.8700174567691941,0.8639162367444563,0.8618080285187173,0.8700174567691941
BGC0001952,1.0,1.0,0.966,1.0,1.0,0.25860088985088986,0.25860088985088986,0.2556037693717758,0.2585892476940271,0.25860088985088986,1.0,1.0,0.9640345542506316,0.9998602941176472,1.0,1.0,1.0,0.9769951838631655,0.9999660540374766,1.0
BGC0002061,0.9327272727272726,0.9327272727272726,0.8687272727272728,0.9074545454545454,0.9327272727272726,0.12494269077195633,0.12393992373046339,0.13303171202164082,0.1511446338316575,0.12308009717030148,0.42217721290854565,0.42110274011052373,0.42659836586798894,0.46748135812211,0.42048059159581486,0.6579667619723535,0.6562777521201395,0.6502212770828846,0.698733502039106,0.6549484684765213
BGC0002095,1.0,1.0,1.0,1.0,1.0,0.16966872006952755,0.16963280910591622,0.17077653474120194,0.14049708185420345,0.1680328770640159,0.5013385558373814,0.5057455790168428,0.502345584687214,0.44201061565969135,0.5013598822400788,0.7482024057510827,0.7491114065818113,0.7491250612801728,0.6928948150777681,0.7458861587826437
BGC0002378,0.7128000000000001,0.7028,0.6732,0.73,0.7028,0.38432020151151103,0.3839308487174524,0.3020662577191394,0.3051390979660723,0.38397477665296637,0.6818679182015506,0.6804319804401737,0.4833521529969399,0.5020571383649091,0.680645754307993,0.7804686031390632,0.7768694550840994,0.649343507875561,0.6686054609083656,0.7768632694192221
BGC0002625,1.0,1.0,1.0,1.0,1.0,0.2745343040797586,0.2745343040797586,0.27440121980624366,0.2745343040797586,0.2745343040797586,1.0,1.0,0.9985360729913362,1.0,1.0,1.0,1.0,0.9996319826782287,1.0,1.0
